PHU_ID,OGF_ID.x,HRUID20181,Geography1,Age_Adjusted_Rate,Raw_Rate,POP_Risk,POP2019,cases_new,Date,ID,RR,LL,UL,G1,G2,G3,G4,G5,E1,E2,E3,B1,B2
2226,71877923,3526,Algoma Health Unit,4.9287,5.1266,121736,117036,6,2020-03-31,34,6.653000589,3.293009051,11.28004462,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,1 ,0 
2226,71877923,3526,Algoma Health Unit,8.4511,8.5444,118328,117036,10,2020-04-14,34,10.93044506,6.060893701,17.20653761,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,1 ,0 
2226,71877923,3526,Algoma Health Unit,11.2024,11.1077,116047,117036,13,2020-04-30,34,13.24215647,7.674132153,20.27269125,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,1 ,0 
2226,71877923,3526,Algoma Health Unit,13.9753,14.5254,121643,117036,16,2020-05-14,34,15.9056965,9.706675953,23.56342719,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 
2226,71877923,3526,Algoma Health Unit,16.8644,17.9432,124523,117036,20,2020-05-31,34,18.79725562,11.92322672,27.14771399,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,0 
2226,71877923,3526,Algoma Health Unit,18.7321,19.6521,122784,117036,22,2020-06-14,34,20.58953011,13.37731876,29.26839326,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,0 
2226,71877923,3526,Algoma Health Unit,19.5941,20.5065,122486,117036,23,2020-06-30,34,21.17653251,13.8112603,30.01946944,0,1,0,0,0 ,0 ,0 ,0 ,1 ,0 
2226,71877923,3526,Algoma Health Unit,20.5572,21.3609,121612,117036,24,2020-07-14,34,22.26406276,14.73077981,31.25711977,0,1,0,0,0 ,0 ,0 ,0 ,1 ,0 
2226,71877923,3526,Algoma Health Unit,22.6653,23.0698,119125,117036,27,2020-07-31,34,24.63328046,16.62903857,34.10218749,1,0,0,0,0,0 ,0 ,0 ,1 ,0 
2226,71877923,3526,Algoma Health Unit,22.6653,23.0698,119125,117036,27,2020-08-14,34,25.00230298,16.97372998,34.48216784,1,0,0,0,0,0 ,0 ,0 ,1 ,0 
2226,71877923,3526,Algoma Health Unit,23.6283,23.9243,118502,117036,28,2020-08-31,34,25.6263165,17.45780338,35.25485992,1,0,0,0,0,0 ,0 ,0 ,1 ,0 
2226,71877923,3526,Algoma Health Unit,24.4904,24.7787,118414,117036,29,2020-09-14,34,26.82512023,18.48560967,36.61136464,1,0,0,0,0,0 ,0 ,0 ,1 ,0 
2226,71877923,3526,Algoma Health Unit,28.4291,28.1965,116078,117036,33,2020-09-30,34,30.17379603,21.25820935,40.53595761,0,0,1,0,0,0 ,0 ,0 ,1 ,0 
2226,71877923,3526,Algoma Health Unit,34.0596,33.3231,114505,117036,40,2020-10-14,34,35.95365708,26.11711301,47.24029995,0,0,1,0,0,0,1 ,0 ,1 ,0 
